,"crude prevalence rate | per 1000 | Model-based estimate for crude prevalence of mental health not good for >=14 days among adults aged >=18 years, 2020",population | individuals | Total Population of Census 2010,Location
0,41.7,565,"Cleveland, Ohio"
1,38.0,3150,"Auburn University, Alabama"
2,37.3,5158,"Tampa, Florida"
3,36.4,1956,"Athens, Georgia"
4,36.3,2872,"Towson, Maryland"
5,35.9,2802,"Lexington, Kentucky"
6,34.3,5004,"Bowling Green, Ohio"
7,34.1,2409,"Athens, Georgia"
8,33.8,5658,"Kent, Ohio"
9,33.1,522,"Counselor, New Mexico"
10,32.2,12764,"University Park, Pennsylvania"
11,32.1,783,"Panther, West Virginia"
12,31.9,6189,"Muncie, Indiana"
13,31.7,974,"Macon, Georgia"
14,31.4,1390,"Ames, Iowa"
15,31.2,6751,"Huntington, West Virginia"
16,31.1,2127,"Winston Salem, North Carolina"
17,31.0,651,"Mohawk, West Virginia"
18,30.9,894,"Las Cruces, New Mexico"
19,30.8,1751,"Rock Hill, South Carolina"
20,30.7,6904,"Ann Arbor, Michigan"
21,30.7,1862,"Waco, Texas"
22,30.6,4543,"Sacaton, Arizona"
23,30.6,6362,"Flagstaff, Arizona"
24,30.5,860,"Rexburg, Idaho"
25,30.5,427,"Statesboro, Georgia"
26,30.4,2023,"Lawrence, Kansas"
27,30.3,6489,"Albany, New York"
28,30.1,12507,"Knoxville, Tennessee"
29,30.0,1806,"Cookeville, Tennessee"
30,30.0,4427,"Bloomington, Indiana"
31,29.9,10372,"Amherst, Massachusetts"
32,29.7,3205,"Baltimore, Maryland"
33,29.6,4062,"Ames, Iowa"
34,29.5,9432,"Columbus, Ohio"
35,29.4,6490,"Sells, Arizona"
36,29.3,659,"Beaufort, South Carolina"
37,29.2,4198,"University, Mississippi"
38,28.8,2295,"Stillwater, Oklahoma"
39,28.7,1304,"Fort Wingate, New Mexico"
40,28.7,9941,"Whiteriver, Arizona"
41,28.7,2178,"Bapchule, Arizona"
42,28.6,4208,"Church Rock, New Mexico"
43,28.6,4208,"Church Rock, New Mexico"
44,28.6,5916,"Akron, Ohio"
45,28.4,2090,"Tsaile, Arizona"
46,28.3,2069,"Bylas, Arizona"
47,28.3,706,"Arkadelphia, Arkansas"
48,28.2,3217,"Los Angeles, California"
49,28.2,599,"Avondale, West Virginia"
50,28.2,3196,"Peridot, Arizona"
51,28.0,1810,"Iaeger, West Virginia"
52,27.9,3029,"Nacogdoches, Texas"
53,27.9,2687,"Terre Haute, Indiana"
54,27.8,860,"Austin, Texas"
55,27.8,329,"Russian Mission, Alaska"
56,27.8,5458,"Gainesville, Florida"
57,27.7,2470,"Radford, Virginia"
58,27.7,1403,"Birmingham, Alabama"
59,27.7,1171,"Round Rock, Arizona"
60,27.6,4730,"Bloomington, Indiana"
61,27.6,46145,"Tallahassee, Florida"
62,27.5,4790,"San Carlos, Arizona"
63,27.5,158,"Hensley, West Virginia"
64,27.5,1751,"Prewitt, New Mexico"
65,27.4,2373,"Carrollton, Georgia"
66,27.3,2107,"Johnson City, Tennessee"
67,27.3,417,"Marshall, Alaska"
68,27.3,166,"Institute, West Virginia"
69,27.2,4558,"Thoreau, New Mexico"
70,27.2,1199,"Dennehotso, Arizona"
71,27.2,244,"Isaban, West Virginia"
72,27.2,388,"Scalf, Kentucky"
73,27.2,4633,"Charlottesville, Virginia"
74,27.2,1199,"Dennehotso, Arizona"
75,27.1,938,"Chevak, Alaska"
76,27.1,265,"Fort Apache, Arizona"
77,27.1,388,"Warriormine, West Virginia"
78,27.1,2340,"Lukachukai, Arizona"
79,27.0,20735,"Allendale, Michigan"
80,27.0,303,"State University, Arkansas"
81,27.0,9844,"Storrs Mansfield, Connecticut"
82,27.0,1093,"Hooper Bay, Alaska"
83,27.0,1093,"Hooper Bay, Alaska"
84,27.0,604,"Pinehill, New Mexico"
85,26.9,511,"Bartley, West Virginia"
86,26.9,568,"Pilot Station, Alaska"
87,26.9,1759,"Hattiesburg, Mississippi"
88,26.9,5133,"Madison, Wisconsin"
89,26.9,834,"Memphis, Tennessee"
90,26.9,7883,"Zuni, New Mexico"
91,26.8,1893,"Ruston, Louisiana"
92,26.8,2311,"Kaibeto, Arizona"
93,26.8,559,"Berwind, West Virginia"
94,26.8,200,"Wilsondale, West Virginia"
95,26.8,677,"Nageezi, New Mexico"
96,26.8,448,"North Matewan, West Virginia"
97,26.8,1793,"Blue Gap, Arizona"
98,26.8,1513,"War, West Virginia"
99,26.7,657,"Raysal, West Virginia"
100,26.7,2338,"Many Farms, Arizona"
101,26.7,151,"Big Sandy, West Virginia"
102,26.6,1832,"Mentmore, New Mexico"
103,26.6,1103,"Jackson, Mississippi"
104,26.6,2408,"Corvallis, Oregon"
105,26.6,1402,"Dulac, Louisiana"
106,26.6,7334,"Memphis, Tennessee"
107,26.6,3193,"Yatahey, New Mexico"
108,26.6,3616,"Mescalero, New Mexico"
109,26.5,1335,"Baton Rouge, Louisiana"
110,26.5,10154,"Toledo, Ohio"
111,26.5,1514,"Hammond, Louisiana"
112,26.4,9040,"Cincinnati, Ohio"
113,26.4,1493,"Towaoc, Colorado"
114,26.4,1308,"Birmingham, Alabama"
115,26.4,1454,"Monument Valley, Utah"
116,26.4,813,"Mountain Village, Alaska"
117,26.3,218,"Nashville, Tennessee"
118,26.3,6358,"Cincinnati, Ohio"
119,26.3,927,"Davy, West Virginia"
120,26.3,10714,"Chinle, Arizona"
121,26.3,2499,"Youngstown, Ohio"
122,26.2,1667,"Troy, Alabama"
123,26.2,8782,"Akron, Ohio"
124,26.2,5358,"Pinon, Arizona"
125,26.2,5358,"Pinon, Arizona"
126,26.1,762,"Emmonak, Alaska"
127,26.1,1315,"Sanostee, New Mexico"
128,26.1,842,"Tacoma, Washington"
129,26.1,842,"Tacoma, Washington"
130,26.1,7682,"Ganado, Arizona"
131,26.1,887,"Crum, West Virginia"
132,26.1,265,"Squire, West Virginia"
133,26.1,280,"Nightmute, Alaska"
134,26.1,654,"Breeden, West Virginia"
135,26.0,1088,"Nazlini, Arizona"
136,26.0,3202,"Kermit, West Virginia"
137,26.0,1164,"Flint, Michigan"
138,26.0,1228,"Columbia, South Carolina"
139,26.0,1688,"Vanderwagen, New Mexico"
140,26.0,189,"Nunam Iqua, Alaska"
141,26.0,601,"Roderfield, West Virginia"
142,26.0,453,"Farmington, New Mexico"
143,26.0,1088,"Nazlini, Arizona"
144,26.0,8307,"Cleveland, Ohio"
145,26.0,1800,"Cibecue, Arizona"
146,25.9,3182,"Santo Domingo Pueblo, New Mexico"
147,25.9,12596,"East Lansing, Michigan"
148,25.9,677,"Alakanuk, Alaska"
149,25.9,1083,"Conway, Arkansas"
150,25.9,1272,"West Columbia, West Virginia"
151,25.9,16526,"Cincinnati, Ohio"
152,25.9,154,"Monroe, Louisiana"
153,25.9,480,"Scammon Bay, Alaska"
154,25.9,616,"Saint Marys, Alaska"
155,25.8,1239,"Arjay, Kentucky"
156,25.8,203,"Columbia, Missouri"
157,25.8,1021,"Red Jacket, West Virginia"
158,25.7,604,"Arnett, West Virginia"
159,25.7,1490,"Peach Springs, Arizona"
160,25.7,6085,"Colorado City, Arizona"
161,25.7,240,"Newhall, West Virginia"
162,25.7,765,"Mexican Springs, New Mexico"
163,25.7,1050,"Minneapolis, Minnesota"
164,25.6,8932,"Chattanooga, Tennessee"
165,25.6,384,"Clear Creek, West Virginia"
166,25.6,5662,"Crownpoint, New Mexico"
167,25.6,83,"Saxon, West Virginia"
168,25.6,1856,"Indian Wells, Arizona"
169,25.6,642,"Mexican Hat, Utah"
170,25.6,5586,"Cleveland, Ohio"
171,25.5,1750,"Newcomb, New Mexico"
172,25.5,150,"Cucumber, West Virginia"
173,25.5,496,"Nunapitchuk, Alaska"
174,25.5,483,"Simon, West Virginia"
175,25.5,1650,"Rock Point, Arizona"
176,25.5,3417,"Dulce, New Mexico"
177,25.5,418,"Chefornak, Alaska"
178,25.5,516,"Ridgeview, West Virginia"
179,25.4,247,"Rehoboth, New Mexico"
180,25.4,420,"Rock Creek, West Virginia"
181,25.4,210,"Artie, West Virginia"
182,25.4,6972,"Cincinnati, Ohio"
183,25.4,569,"Kasigluk, Alaska"
184,25.4,3350,"Gallup, New Mexico"
185,25.4,835,"Happy, Kentucky"
186,25.4,371,"Walker, Kentucky"
187,25.4,337,"Premier, West Virginia"
188,25.4,723,"Kwethluk, Alaska"
189,25.4,2223,"Valdosta, Georgia"
190,25.3,346,"Akiak, Alaska"
191,25.3,2702,"Orono, Maine"
192,25.3,659,"Mobile, Alabama"
193,25.3,7844,"Kayenta, Arizona"
194,25.3,669,"Quinhagak, Alaska"
195,25.3,261,"Kenvir, Kentucky"
196,25.3,408,"Edgarton, West Virginia"
197,25.3,938,"Brimhall, New Mexico"
198,25.3,1286,"Dingess, West Virginia"
199,25.3,1501,"Cyclone, West Virginia"
200,25.3,550,"Kopperston, West Virginia"
201,25.2,539,"Kistler, West Virginia"
202,25.2,1941,"Cameron, Arizona"
203,25.2,618,"Dorothy, West Virginia"
204,25.2,3770,"Newark, Delaware"
205,25.2,627,"Akiachak, Alaska"
206,25.2,1273,"Vicco, Kentucky"
207,25.1,373,"Tuluksak, Alaska"
208,25.1,2071,"Genoa, West Virginia"
209,25.1,1012,"Naoma, West Virginia"
210,25.1,28346,"Toledo, Ohio"
211,25.1,5647,"Knoxville, Tennessee"
212,25.1,295,"Delphia, Kentucky"
213,25.1,383,"Coal Mountain, West Virginia"
214,25.1,2439,"Sanders, Arizona"
215,25.0,374,"Kivalina, Alaska"
216,25.0,2654,"Montezuma Creek, Utah"
217,25.0,374,"Kivalina, Alaska"
218,25.0,34122,"Athens, Ohio"
219,25.0,262,"Jenkinjones, West Virginia"
220,25.0,7808,"College Park, Maryland"
221,25.0,2271,"Keams Canyon, Arizona"
222,25.0,1092,"Dunlow, West Virginia"
223,25.0,64,"Zoe, Kentucky"
224,25.0,470,"Washington, District of Columbia"
225,25.0,1111,"Sheep Springs, New Mexico"
226,24.9,2870,"Moorhead, Mississippi"
227,24.9,841,"Selawik, Alaska"
228,24.9,1595,"Matewan, West Virginia"
229,24.9,1321,"Houck, Arizona"
230,24.9,639,"Kipnuk, Alaska"
231,24.9,964,"Accoville, West Virginia"
232,24.9,555,"Stoney Fork, Kentucky"
233,24.9,956,"Charleston, South Carolina"
234,24.9,639,"Kipnuk, Alaska"
235,24.8,451,"Kettle Island, Kentucky"
236,24.8,4974,"Scottsdale, Arizona"
237,24.8,27038,"Oxford, Ohio"
238,24.8,954,"Bradshaw, West Virginia"
239,24.8,5863,"Youngstown, Ohio"
240,24.8,2139,"Scarbro, West Virginia"
241,24.8,737,"Wharncliffe, West Virginia"
242,24.8,243,"Goodnews Bay, Alaska"
243,24.8,531,"Ages Brookside, Kentucky"
244,24.8,3965,"Evarts, Kentucky"
245,24.8,416,"Buckland, Alaska"
246,24.7,1534,"Cawood, Kentucky"
247,24.7,972,"Lake, West Virginia"
248,24.7,4251,"Tonalea, Arizona"
249,24.7,1153,"Ashford, West Virginia"
250,24.7,2064,"Rosebud, South Dakota"
251,24.7,2023,"Atlanta, Georgia"
252,24.7,70,"Sunspot, New Mexico"
253,24.7,581,"Cranks, Kentucky"
254,24.7,3311,"Harrisonburg, Virginia"
255,24.7,784,"Alberta, Alabama"
256,24.6,590,"Toksook Bay, Alaska"
257,24.6,1440,"Redby, Minnesota"
258,24.6,579,"Continental Divide, New Mexico"
259,24.6,679,"Sweet Briar, Virginia"
260,24.6,1847,"Saint Francis, South Dakota"
261,24.6,3034,"Tohatchi, New Mexico"
262,24.6,1237,"East Lynn, West Virginia"
263,24.6,467,"Big Creek, Kentucky"
264,24.6,408,"Tuntutuliak, Alaska"
265,24.6,3169,"West Chester, Pennsylvania"
266,24.6,3486,"Harts, West Virginia"
267,24.6,408,"Tuntutuliak, Alaska"
268,24.5,1066,"Ponemah, Minnesota"
269,24.5,969,"Pecks Mill, West Virginia"
270,24.5,584,"Rio Grande, Ohio"
271,24.5,683,"Lorado, West Virginia"
272,24.5,10271,"Burton, Michigan"
273,24.5,1648,"Fort Myers, Florida"
274,24.5,752,"Lupton, Arizona"
275,24.5,282,"Kiahsville, West Virginia"
276,24.5,23569,"Lexington, Kentucky"
277,24.5,1778,"Polacca, Arizona"
278,24.5,135,"Widen, West Virginia"
279,24.5,10586,"Springfield, Missouri"
280,24.4,73,"Sharples, West Virginia"
281,24.4,151,"Kobuk, Alaska"
282,24.4,1452,"Holden, West Virginia"
283,24.4,230,"Dry Creek, West Virginia"
284,24.4,1140,"Amherstdale, West Virginia"
285,24.4,388,"Brevig Mission, Alaska"
286,24.4,16515,"Toledo, Ohio"
287,24.4,29044,"Monroe, Louisiana"
288,24.4,536,"Sarah Ann, West Virginia"
289,24.4,1754,"Ranger, West Virginia"
290,24.4,410,"Putney, Kentucky"
291,24.4,2699,"Flat Lick, Kentucky"
292,24.3,480,"Henlawson, West Virginia"
293,24.3,416,"Nellis, West Virginia"
294,24.3,3317,"Teec Nos Pos, Arizona"
295,24.3,245,"Salt Lake City, Utah"
296,24.3,1608,"Whitman, West Virginia"
297,24.3,31340,"Austin, Texas"
298,24.3,1267,"Red Valley, Arizona"
299,24.3,1890,"Washington, District of Columbia"
300,24.3,556,"Stebbins, Alaska"
301,24.3,15006,"Dayton, Ohio"
302,24.3,556,"Stebbins, Alaska"
303,24.3,16850,"Erie, Pennsylvania"
304,24.2,150,"Jean, Nevada"
305,24.2,5811,"Chattanooga, Tennessee"
306,24.2,675,"Anawalt, West Virginia"
307,24.2,4406,"Burlington, Vermont"
308,24.2,12868,"Dayton, Ohio"
309,24.2,936,"Mount Gay, West Virginia"
310,24.2,1945,"Crow Agency, Montana"
311,24.2,35495,"Columbus, Ohio"
312,24.2,150,"Jean, Nevada"
313,24.2,354,"Napakiak, Alaska"
314,24.2,296,"Eek, Alaska"
315,24.2,3987,"Warm Springs, Oregon"
316,24.2,321,"Kwigillingok, Alaska"
317,24.2,296,"Eek, Alaska"
318,24.2,351,"North Spring, West Virginia"
319,24.1,6589,"Fort Defiance, Arizona"
320,24.1,776,"Tangipahoa, Louisiana"
321,24.1,735,"Windsor, Kentucky"
322,24.1,67,"Switchback, West Virginia"
323,24.1,47465,"Dearborn, Michigan"
324,24.1,514,"Noatak, Alaska"
325,24.1,78,"Marianna, Florida"
326,24.1,7915,"Jacksonville, Florida"
327,24.0,94,"Canyon, Texas"
328,24.0,401,"Saint Michael, Alaska"
329,24.0,559,"Fargo, Georgia"
330,24.0,11354,"Tuba City, Arizona"
331,24.0,834,"Lyburn, West Virginia"
332,24.0,164,"Costa, West Virginia"
333,24.0,2216,"Rosedale, Mississippi"
334,24.0,695,"Mabscott, West Virginia"
335,24.0,3475,"Box Elder, Montana"
336,24.0,255,"Kegley, West Virginia"
337,24.0,389,"Charleston, South Carolina"
338,24.0,1250,"Lenore, West Virginia"
339,24.0,298,"Ethel, West Virginia"
340,23.9,1956,"Gatesville, Texas"
341,23.9,2999,"Magdalena, New Mexico"
342,23.9,5713,"Buffalo, New York"
343,23.9,896,"Bimble, Kentucky"
344,23.9,325,"Tununak, Alaska"
345,23.9,411,"Clothier, West Virginia"
346,23.9,100,"Sacramento, New Mexico"
347,23.9,502,"Pathfork, Kentucky"
348,23.9,574,"Slemp, Kentucky"
349,23.9,868,"Peytona, West Virginia"
350,23.9,22640,"Cleveland, Ohio"
351,23.9,7841,"Kingston, Rhode Island"
352,23.9,8638,"Columbus, Georgia"
353,23.8,6025,"Lubbock, Texas"
354,23.8,31017,"Detroit, Michigan"
355,23.8,940,"Stollings, West Virginia"
356,23.8,330,"Elim, Alaska"
357,23.8,39878,"Tuscaloosa, Alabama"
358,23.8,4024,"Fort Gay, West Virginia"
359,23.7,1093,"Jolo, West Virginia"
360,23.7,1659,"Clay, West Virginia"
361,23.7,38772,"Morgantown, West Virginia"
362,23.7,16453,"Milwaukee, Wisconsin"
363,23.7,80,"Roxana, Kentucky"
364,23.7,163,"Mount Eaton, Ohio"
365,23.7,1013,"Julian, West Virginia"
366,23.7,23687,"Toledo, Ohio"
367,23.7,230,"Boykin, Alabama"
368,23.7,1274,"Gatesville, Texas"
369,23.7,414,"Bomont, West Virginia"
370,23.7,7719,"Browning, Montana"
371,23.7,332,"Koyuk, Alaska"
372,23.7,312,"Helton, Kentucky"
373,23.7,984,"Lynco, West Virginia"
374,23.7,7082,"Detroit, Michigan"
375,23.6,9107,"West Helena, Arkansas"
376,23.6,668,"Noorvik, Alaska"
377,23.6,50025,"Mount Pleasant, Michigan"
378,23.6,13045,"Terre Haute, Indiana"
379,23.6,630,"Comfort, West Virginia"
380,23.6,3858,"Welch, West Virginia"
381,23.6,3886,"Chattanooga, Tennessee"
382,23.6,369,"Majestic, Kentucky"
383,23.6,2647,"Hamlin, West Virginia"
384,23.6,2044,"Erie, Pennsylvania"
385,23.6,307,"Maybeury, West Virginia"
386,23.5,5432,"Mansfield, Ohio"
387,23.5,216,"Kalskag, Alaska"
388,23.5,1523,"Hanover, West Virginia"
389,23.5,635,"Hulen, Kentucky"
390,23.5,953,"Muskegon, Michigan"
391,23.5,3614,"Manhattan, Kansas"
392,23.5,788,"Heidrick, Kentucky"
393,23.5,3614,"Manhattan, Kansas"
394,23.5,279,"Totz, Kentucky"
395,23.5,1839,"Grand Forks, North Dakota"
396,23.5,4541,"Mobile, Alabama"
397,23.5,66,"Bon Air, Alabama"
398,23.5,1184,"West Liberty, West Virginia"
399,23.5,262,"Shungnak, Alaska"
400,23.5,999,"Freeburn, Kentucky"
401,23.5,3222,"Simmesport, Louisiana"
402,23.5,29909,"Baton Rouge, Louisiana"
403,23.5,847,"Stephenville, Texas"
404,23.5,3227,"Washington, District of Columbia"
405,23.4,110,"Coalgood, Kentucky"
406,23.4,8738,"Cincinnati, Ohio"
407,23.4,5844,"Homerville, Georgia"
408,23.4,45248,"Memphis, Tennessee"
409,23.4,10204,"Youngstown, Ohio"
410,23.4,692,"Hewett, West Virginia"
411,23.4,998,"Hinkle, Kentucky"
412,23.4,282,"Lower Kalskag, Alaska"
413,23.4,6741,"Gainesville, Florida"
414,23.4,171,"Beverly, Kentucky"
415,23.4,1073,"Stopover, Kentucky"
416,23.4,174,"Carrie, Kentucky"
417,23.4,22071,"Auburn, Alabama"
418,23.4,191,"Mekoryuk, Alaska"
419,23.4,282,"Ikes Fork, West Virginia"
420,23.4,1237,"Decatur, Illinois"
421,23.4,27606,"Syracuse, New York"
422,23.4,643,"Berea, Kentucky"
423,23.4,115,"Mesopotamia, Ohio"
424,23.4,1959,"Jacksonville, Florida"
425,23.4,252,"Upperglade, West Virginia"
426,23.3,397,"Mozelle, Kentucky"
427,23.3,359,"Minden, West Virginia"
428,23.3,2320,"Rochester, New York"
429,23.3,865,"Wheelwright, Kentucky"
430,23.3,250,"Elkhorn, West Virginia"
431,23.3,616,"New Laguna, New Mexico"
432,23.3,2602,"Columbus, Ohio"
433,23.3,1686,"Northfork, West Virginia"
434,23.3,123,"Hoskinston, Kentucky"
435,23.3,771,"Mallory, West Virginia"
436,23.3,79,"Rohwer, Arkansas"
437,23.3,667,"Milligan College, Tennessee"
438,23.3,3429,"Poplar, Montana"
439,23.3,8408,"Lubbock, Texas"
440,23.3,8197,"Shreveport, Louisiana"
441,23.3,179,"Reddell, Louisiana"
442,23.3,1227,"Whitesville, West Virginia"
443,23.3,18729,"Memphis, Tennessee"
444,23.3,32730,"Valdosta, Georgia"
445,23.3,1392,"Akron, Ohio"
446,23.2,251,"Shaktoolik, Alaska"
447,23.2,681,"Artemus, Kentucky"
448,23.2,122,"Deering, Alaska"
449,23.2,30019,"Flint, Michigan"
450,23.2,10762,"Kalamazoo, Michigan"
451,23.2,3006,"Rock, West Virginia"
452,23.2,20835,"Athens, Georgia"
453,23.2,152,"Arctic Village, Alaska"
454,23.2,4479,"Window Rock, Arizona"
455,23.2,20128,"Columbus, Georgia"
456,23.2,18613,"Homestead, Florida"
457,23.2,152,"Arctic Village, Alaska"
458,23.2,3888,"Washington, District of Columbia"
459,23.2,1112,"Cabin Creek, West Virginia"
460,23.2,430,"Northampton, Massachusetts"
461,23.2,14862,"Tulsa, Oklahoma"
462,23.2,509,"Hartford, West Virginia"
463,23.2,2207,"Pueblo of Acoma, New Mexico"
464,23.2,1467,"Kykotsmovi Village, Arizona"
465,23.2,61,"Platinum, Alaska"
466,23.2,363,"Glen Jean, West Virginia"
467,23.2,735,"Cannon, Kentucky"
468,23.2,922,"Maysel, West Virginia"
469,23.2,25710,"Flint, Michigan"
470,23.2,586,"Bloomingrose, West Virginia"
471,23.2,13570,"Jacksonville, Florida"
472,23.2,5829,"Delbarton, West Virginia"
473,23.1,3143,"Clearfield, Kentucky"
474,23.1,7314,"Notre Dame, Indiana"
475,23.1,2001,"Wilberforce, Ohio"
476,23.1,681,"Gambell, Alaska"
477,23.1,290,"Midkiff, West Virginia"
478,23.1,8099,"Calipatria, California"
479,23.1,36572,"Philadelphia, Pennsylvania"
480,23.1,2976,"Cowen, West Virginia"
481,23.1,1942,"Salt Lake City, Utah"
482,23.1,567,"Shishmaref, Alaska"
483,23.1,1370,"Providence, Rhode Island"
484,23.1,8125,"Minneapolis, Minnesota"
485,23.1,299,"Spanishburg, West Virginia"
486,23.1,20388,"Shreveport, Louisiana"
487,23.1,190,"White Mountain, Alaska"
488,23.1,194,"Grayling, Alaska"
489,23.1,949,"Chloe, West Virginia"
490,23.1,339,"Garryowen, Montana"
491,23.1,1923,"Oglala, South Dakota"
492,23.1,99,"Big Laurel, Kentucky"
493,23.1,744,"Junior, West Virginia"
494,23.1,1086,"McNary, Arizona"
495,23.1,309,"Pageton, West Virginia"
496,23.1,22498,"Huntsville, Alabama"
497,23.1,5206,"Logan, West Virginia"
498,23.1,789,"Granville, West Virginia"
499,23.0,52130,"Detroit, Michigan"
500,23.0,877,"Emmalena, Kentucky"
501,23.0,2155,"Gilbert, West Virginia"
502,23.0,2874,"Oceana, West Virginia"
503,23.0,155,"Midnight, Mississippi"
504,23.0,4403,"Montegut, Louisiana"
505,23.0,853,"Lashmeet, West Virginia"
506,23.0,7488,"Fort Stewart, Georgia"
507,23.0,3684,"Algodones, New Mexico"
508,23.0,532,"Beulah, Mississippi"
509,23.0,13227,"Louisville, Kentucky"
510,23.0,430,"Pace, Mississippi"
511,23.0,254,"Teller, Alaska"
512,23.0,2206,"West Hamlin, West Virginia"
513,23.0,674,"Essie, Kentucky"
514,23.0,857,"Nellis AFB, Nevada"
515,23.0,802,"Teaberry, Kentucky"
516,23.0,557,"Jeffrey, West Virginia"
517,23.0,273,"Fourmile, Kentucky"
518,23.0,2207,"Mississippi State, Mississippi"
519,23.0,7903,"River Rouge, Michigan"
520,22.9,746,"Schurz, Nevada"
521,22.9,41139,"Statesboro, Georgia"
522,22.9,613,"Silver City, Mississippi"
523,22.9,230,"Deane, Kentucky"
524,22.9,365,"Pax, West Virginia"
525,22.9,739,"McClellan, California"
526,22.9,7788,"Huntington, West Virginia"
527,22.9,354,"Diana, West Virginia"
528,22.9,873,"Louise, Mississippi"
529,22.9,459,"Wilkinson, West Virginia"
530,22.9,251,"Garrard, Kentucky"
531,22.9,733,"Isonville, Kentucky"
532,22.9,391,"Uneeda, West Virginia"
533,22.9,536,"Jackson, Mississippi"
534,22.9,412,"Fanrock, West Virginia"
535,22.9,612,"Racine, West Virginia"
536,22.9,1257,"Procious, West Virginia"
537,22.9,198,"Erbacon, West Virginia"
538,22.9,477,"Sylvester, West Virginia"
539,22.9,167,"Cleveland, West Virginia"
540,22.9,7538,"Beattyville, Kentucky"
541,22.9,644,"Wounded Knee, South Dakota"
542,22.9,479,"Angola, Louisiana"
543,22.9,84,"Beaver, Alaska"
544,22.9,17222,"Baton Rouge, Louisiana"
545,22.8,968,"Whitfield, Mississippi"
546,22.8,1023,"Cornettsville, Kentucky"
547,22.8,600,"Paynesville, West Virginia"
548,22.8,190,"Clayhole, Kentucky"
549,22.8,2157,"Sophia, West Virginia"
550,22.8,220,"Green Road, Kentucky"
551,22.8,768,"Switzer, West Virginia"
552,22.8,261,"Allen Junction, West Virginia"
553,22.8,78,"Chappell, Kentucky"
554,22.8,332,"Orgas, West Virginia"
555,22.8,381,"Bob White, West Virginia"
556,22.8,756,"Drybranch, West Virginia"
557,22.8,32262,"Detroit, Michigan"
558,22.8,1004,"Baisden, West Virginia"
559,22.8,19143,"Manchester, Kentucky"
560,22.8,39038,"Hamtramck, Michigan"
561,22.8,614,"Winifrede, West Virginia"
562,22.8,10234,"Detroit, Michigan"
563,22.8,976,"Eskdale, West Virginia"
564,22.8,2226,"Ramah, New Mexico"
565,22.8,145,"Wales, Alaska"
566,22.8,426,"Dawes, West Virginia"
567,22.8,992,"Wharton, West Virginia"
568,22.8,6837,"Williamson, West Virginia"
569,22.8,1154,"Erie, Pennsylvania"
570,22.8,35565,"Albany, Georgia"
571,22.8,955,"Clear Fork, West Virginia"
572,22.8,18123,"Cleveland, Ohio"
573,22.8,223,"Covel, West Virginia"
574,22.7,608,"Peach Creek, West Virginia"
575,22.7,17687,"York, Pennsylvania"
576,22.7,974,"Hays, Montana"
577,22.7,5934,"Atlanta, Georgia"
578,22.7,12658,"North Little Rock, Arkansas"
579,22.7,26455,"Kalamazoo, Michigan"
580,22.7,63,"Bexar, Arkansas"
581,22.7,2702,"Northridge, California"
582,22.7,6609,"Kincheloe, Michigan"
583,22.7,974,"Hays, Montana"
584,22.7,202,"Sabine, West Virginia"
585,22.7,973,"Camden on Gauley, West Virginia"
586,22.7,89,"Turtle Creek, West Virginia"
587,22.7,1106,"Grethel, Kentucky"
588,22.7,1219,"Lost Creek, Kentucky"
589,22.7,424,"Higginson, Arkansas"
590,22.7,1569,"Mount Berry, Georgia"
591,22.7,691,"Gainestown, Alabama"
592,22.7,497,"Glendora, Mississippi"
593,22.7,335,"Millstone, West Virginia"
594,22.7,2288,"Phelps, Kentucky"
595,22.7,1053,"Canton, Ohio"
596,22.7,756,"Miracle, Kentucky"
597,22.7,21600,"Columbus, Ohio"
598,22.7,651,"Spurlockville, West Virginia"
599,22.7,95,"Etowah, Arkansas"
600,22.7,305,"Bim, West Virginia"
601,22.7,525,"Summit, Arkansas"
602,22.7,2950,"Lame Deer, Montana"
603,22.7,583,"Martha, Kentucky"
604,22.7,10362,"Pineville, Kentucky"
605,22.7,1456,"Duff, Tennessee"
606,22.7,18407,"Pontiac, Michigan"
607,22.7,2957,"Tchula, Mississippi"
608,22.6,2041,"Huttonsville, West Virginia"
609,22.6,606,"Exchange, West Virginia"
610,22.6,167,"Thorpe, West Virginia"
611,22.6,1148,"Omar, West Virginia"
612,22.6,5589,"Clemson, South Carolina"
613,22.6,60,"Monterville, West Virginia"
614,22.6,52,"Whick, Kentucky"
615,22.6,647,"Partridge, Kentucky"
616,22.6,198,"Wyoming, West Virginia"
617,22.6,259,"Ambler, Alaska"
618,22.6,5282,"Itta Bena, Mississippi"
619,22.6,242,"Ottawa, West Virginia"
620,22.6,1257,"Jonestown, Mississippi"
621,22.6,682,"Bruno, West Virginia"
622,22.6,1039,"Blaine, Kentucky"
623,22.6,940,"Birmingham, Alabama"
624,22.6,1174,"Webb, Mississippi"
625,22.6,1329,"Parkin, Arkansas"
626,22.6,6759,"Lake Providence, Louisiana"
627,22.6,726,"Aniak, Alaska"
628,22.6,629,"Dennard, Arkansas"
629,22.6,6845,"Fredericksburg, Ohio"
630,22.6,10833,"Dayton, Ohio"
631,22.6,257,"Beeson, West Virginia"
632,22.6,754,"Nashville, Tennessee"
633,22.6,56171,"College Station, Texas"
634,22.6,389,"Ulysses, Kentucky"
635,22.6,4296,"Danville, West Virginia"
636,22.6,6319,"Shannon, North Carolina"
637,22.6,614,"Gunlock, Kentucky"
638,22.6,363,"Kiana, Alaska"
